TIPO_REG;PAIS;P_DEPTO;P_MUNIC;UC_UO;ENCUESTA;COD_VEREDA;P_S6P45B;P_S6P45A;P_S6P46;P_S6P47A;P_S6P47B;P_S6P48;P_S6P50;P_S6P51_SP1;P_S6P51_SP2;P_S6P51_SP3;P_S6P53;P_S6P57A;P_S6P59_UNIF;P_S6P60;AREA_SEMBRADA;AREA_COSECHADA
4;170;08;08137;00807613;040069003;08137001;1;2;00112201001;6;2013;2;2;;1;;;4.8774212111;3.5750915097;12;1.3642787039;1.3642787039
4;170;08;08137;00850001;000014359;08137001;1;2;00112201002;9;2012;2;2;;1;;;9.9701511793;3.5755801986;12;2.7884009379;2.7884009379
4;170;08;08137;00850001;000014359;08137001;1;2;00112201001;6;2013;2;2;;1;;;9.1002109418;3.2635948504;12;2.7884009379;2.7884009379
4;170;08;08137;00850001;000014359;08137001;1;2;00112201002;6;2013;2;2;;1;;;8.6110224088;3.0881579087;12;2.7884009379;2.7884009379
4;170;08;08137;00850001;000014359;08137001;1;2;00112201001;9;2012;2;2;;1;;;9.6983151801;3.4780920665;12;2.7884009379;2.7884009379
4;170;08;08137;00850001;000014359;08137001;1;1;00131701001;10;2012;2;2;;1;;;50.054236812;17.950875046;12;2.7884009379;2.7884009379
4;170;08;08137;00850001;000014359;08137001;1;1;00132201001;3;1992;2;2;;1;;;38.888997614;13.946702243;12;2.7884009379;2.7884009379
4;170;08;08137;00850001;040068600;08137001;1;2;00112201001;6;2013;2;2;;1;;;7.0825014211;3.1976989986;12;2.2148743282;2.2148743282
4;170;08;08137;00850001;040068600;08137001;1;2;00112201002;6;2013;2;2;;1;;;7.3075786207;3.2993197527;12;2.2148743282;2.2148743282
4;170;08;08137;00850001;040068600;08137001;1;2;00112201001;9;2012;2;2;;1;;;7.1618440358;3.2335216245;12;2.2148743282;2.2148743282
4;170;08;08137;00850001;040068600;08137001;1;2;00112201002;9;2012;2;2;;1;;;7.3899832746;3.3365248676;12;2.2148743282;2.2148743282
4;170;08;08137;00850001;040068600;08137001;1;2;00123502001;7;2013;2;2;;1;;;22.361881188;10.096230248;12;2.2148743282;2.2148743282
4;170;08;08137;00850001;040068600;08137001;1;2;00159301001;4;2013;2;2;;1;;;0;;12;2.2148743282;0
4;170;08;08137;00850001;040068600;08137001;2;1;09999999903;1;2013;1;;;;;;1.2318252815;2.1478084202;;0.5735266097;0.5735266097
4;170;08;08137;00850001;040069182;08137001;1;2;00159301001;7;2013;2;2;;1;;;0;;12;2.2148743282;0
4;170;08;08137;00850001;040069182;08137001;1;2;00112201002;9;2012;2;2;;1;;;8.0256186741;3.6235097279;12;2.2148743282;2.2148743282
4;170;08;08137;00850001;040069182;08137001;1;2;00112201002;6;2013;2;2;;1;;;7.4436954699;3.3607755416;12;2.2148743282;2.2148743282
4;170;08;08137;00850001;040069182;08137001;1;2;00112201001;9;2012;2;2;;1;;;7.1607913815;3.2330463586;12;2.2148743282;2.2148743282
4;170;08;08137;00850001;040069182;08137001;1;2;00112201001;6;2013;2;2;;1;;;7.484824347;3.379344937;12;2.2148743282;2.2148743282
4;170;08;08137;00850001;040069182;08137001;1;1;00131701001;10;2012;2;2;;1;;;39.758932306;17.950875046;12;2.2148743282;2.2148743282
4;170;08;08137;00850001;040069182;08137001;2;1;09999999903;1;2013;1;;;;;;1.3680747602;2.3853727745;;0.5735266097;0.5735266097
4;170;08;08137;00851092;040069183;08137001;1;2;00159301001;4;2013;2;2;;1;;;0;;12;2.2148743282;0
4;170;08;08137;00851092;040069183;08137001;1;2;00112201001;6;2013;2;2;;1;;;7.6220744063;3.4413123622;12;2.2148743282;2.2148743282
4;170;08;08137;00851092;040069183;08137001;1;2;00112201001;9;2012;2;2;;1;;;7.5730083155;3.4191593714;12;2.2148743282;2.2148743282
4;170;08;08137;00851092;040069183;08137001;1;2;00112201002;9;2012;2;2;;1;;;7.1448690058;3.2258575193;12;2.2148743282;2.2148743282
4;170;08;08137;00851092;040069183;08137001;1;2;00112201002;6;2013;2;2;;1;;;7.394037236;3.3383552023;12;2.2148743282;2.2148743282
4;170;08;08137;00851092;040069183;08137001;1;2;00123502001;7;2013;2;2;;1;;;20.754687853;9.3705938929;12;2.2148743282;2.2148743282
